Sentiment	Text
Negative	MN MOST LIBERAL STATE IN US THANKS TO TWIN CITIES MIGRANTS & LEFTISTS. LOOK AT REPORT ON MN DECRIMINALIZING CHILD SEX ABUSE IT'S SICKENING!:pouting_face:
Positive	Hopefully God bless Late Fidel Castro Legendary Cuba Leader and help Cuba people's in this crucial time Thank you
Positive	Pitchers are a different world, my friend Cy Young tells me. Larry Walker is up there. Have to compare stats, and d… 
Negative	.@parkinsbrea @atheistie The claim that abortion causes breast cancer is a big lie! 
Neutral	Grayson Allen should have gone to the #NBA after last season. His stock wont ever b that high again and that's not a shot at him as a player
Positive	"Pro-Tipp :face_with_tears_of_joy: ""@transl8oratwork: Funny yet true!  #translation #translator #getnoticed "
Negative	Melania Trump can copy Michelle Obamas speech word for word, but if I plagiarize on a research paper I'll get kicked out of my university :upside-down_face:
Positive	#TheWalkingDead episode 42. The Governor is back to his old ways...plans on taking over the prison. For me, 8/10 #JJReviews
Neutral	Embargo, keeping honey clean since 1991 
Positive	waaant 
Negative	Jill Stein is now the Democrats puppet. They will do anything  to beg,borrow or steal this election. Stein and Dems real scum.@FoxNews
Neutral	Wait nvm David Ross is on it for some reason and I'm not sure if that's Verlander or someone else
Negative	@D18Dx @DeplorableJames @AIIAmericanGirI @3rdReiched @Cernovich and Hitler's first strategy was to disarm the Jews. Gun control sucks.
Neutral	..migrants should pledge to follow British values 
Negative	@ShawnaKaay_ Tony Romo is a cancer to the American people.
Negative	Hey Kim Fatty The third u there :D ? Fatty fatty
Negative	Am I the only one that thinks #Trump is playing w/ #Romney to get back at him for his criticism? Smh. #UniteBlue #libcrib
Positive	Me and the incredibly talented @ArabellaRodrigo at #BeautyAndTheBeast #sitzprobe yesterday. Opens next Friday. Eek!… 
Positive	thankful that @elizabethforma / @SenWarren exists. not even my state senator, but she's amazing.
Positive	Great to see @KZapponeTD talk positive rights to reproductive autonomy - enabling meaningful access will be key 
Positive	The latest The Deep learning Daily! 
Positive	Go Marine Le Pen!:backhand_index_pointing_down::thumbs_up: 
Positive	#Hatchimals is one of the 14 coolest toys for the holiday season - #CNNMoney 
Positive	A beauty by Curt Montana Moore 
Positive	tipp hill is the best :four_leaf_clover::green_heart: 
Positive	@ccdc_cambridge An article that may interest you re. 3D printing of crystal structures 
Neutral	#TrumpTransitionTeam issues #Statement...Clearly, they never Met #Trump. 
Negative	Well - we shld be grateful for that home b/c most likely the DT admin will cut it from the budget/put them on the s… 
Positive	Democrats knew the this was how important this election was.  We need to #UniteBlue Be bigger re-focus on OUR goal. 
Neutral	@GPB5UK Is there anything we can help with at all Graham? ^Ashley
Positive	.@NickPaulTaylor reports @generalelectric and @UCSF have teamed up to build a library of deep learning algorithms. 
Positive	L L L #Entertainment #Buzz ZAC EFRON HANDSOME BARECHESTED BEEFCAKE HUNK CANDID PHOTOGRAPH #eBay…… 
Positive	Love. #StillWithHer 
Negative	Being An Antiwar Activist In Israel Is Dangerous 
Positive	So proud of way @realDonaldTrump & #trumpTransitionteam are molding strong leadership group for #America #TeamTrump #MakeAmericaGreatAgain
Neutral	Medical marijuana for children with developmental and behavioral disorders?  
Positive	The next Muhammad Ali :hundred_points::flexed_biceps_medium-dark_skin_tone::oncoming_fist_medium-dark_skin_tone::trophy: 
Negative	This is my exact point ME and MD: Petraeus did far worse and is unfit for public office.  Also, others (like MD)... 
Negative	@Brasilmagic Including the many innocent men women and children killed by his direct authorized drone strikes?
Neutral	@slone @sxdoc A view by county should ensure anyone with #CommonSense sees the Electoral College works as was plann… 
Negative	@Blogsbloke @AIIAmericanGirI @flamethrower82 @DeplorableJames @3rdReiched @Cernovich I'm getting tired of these people and their gun control
Neutral	And soon Social Security 
Positive	@cur68025855 @PaulRyan I believe Medicare is fine as it stands. But would have to read the facts about privatizing this program.
Neutral	This why I will return to vegetarianism. I can't be part of this 
Negative	@mitchellvii This is Soros, Pelosi, etc - WTF do u think meeting in NYC ws about? Soros is paying 4 this 2 foment mr civil unrest - or worse
Positive	@WeAreBangalore @Harsha_MP @beyondcarlton #NBAwards Let's unearth more such jewels of #Bengaluru 
Negative	Rightists plan mega-Jerusalem in 2040 - with invisible Palestinians 
Positive	Favourite album guys...#3yearsofmidnightmemories #onedirection #MtvStarsNiallHoran #harrystyles #LouisTomlinson 
Positive	#thepowerofreading. Cheers for books! #NBAwards 
Positive	#Spurs #GoSpursGo 2011-12 Panini Black Box #/99 TIM DUNCAN Black Status Elite Rare SPURS!!!! 
Positive	Google this important piece & write to 
Negative	Nov 19????.Busted !! WIKILEAKS anti TRUMP PROTESTS SponsorS BY HILLARY AND GEORGE... 
Negative	@Hard_Specs What else are we going to get out of Brexit but immigration? Nothing else seems to be on the table any more.
Neutral	The “Concern” about Pope Francis by Fr. James V. Schall, S.J., of Crisis Magazine 
Negative	@ChicagoPhotoSho @aravosis Original Nazi Party used to be at zero too
Neutral	Combine these results with documented Russian interference and Comey testified voting systems hacked #AuditTheVote 
Positive	So, if that were Grayson Allen on the floor he would've tripped someone lol!
Positive	#Spurs #GoSpursGo 1997-98 TIM DUNCAN Rookie #Cards (2) Upper Deck and Skybox Premium Future HOFer 
Negative	THIS. SHOULD. SCARE. YOU.  
Positive	The latest Jornal Editorial ! 
Negative	How many homeless could we feed w/ funds req’d to protect Melania #Trump in NYC? (1 mil / day for NYPD) @realDonaldTrump should chip in, no?
Positive	"Cover: ""Barca are the best team in the world"" #fcblive [sport] "
Negative	But I'm a bum right ? I wont be shit right ? Ill be working my minimum wage jobs til I die right ? FOH . :smiling_face_with_halo::middle_finger_light_skin_tone: 
Neutral	#ISIS claims Iraq car-bombing, at least 73 killed. 
Neutral	@DROSS38040 @walkmanF29 @KevJames91 @realDonaldTrump Yes. US citizens happily  employed for MINIMAL (not minimum) wage! I can see it now!
Negative	@TheMikeSalk @ascales0 I hope this isn't another attempt to get a 300 hitter from the National League who now hits 220 Tai wins Cy young, ew
Positive	My families  #Thanksgiving  #MannequinChallenge :smiling_face::smiling_face_with_smiling_eyes::face_with_tears_of_joy::grinning_face_with_sweat::smiling_face_with_halo::smiling_face_with_heart-eyes::squinting_face_with_tongue::smiling_face_with_sunglasses::see-no-evil_monkey::red_heart::woman_dancing::OK_hand::raised_fist::thumbs_up: Lol I love my family!!… 
Neutral	@NOVAxRANGERx @FiveStarMagPW The gold standard.
Negative	Kim Fatty the Third??? The same guy who fed his family to dogs? 
Negative	#Turkey #Yemen Oil down on strong dollar, OPEC uncertainty 
Neutral	VIRAL: Cristiano Ronaldo’s Balls Bounce in Underwear-Clad Poker Advert [Video] 
Neutral	@aravosis so many deplorables..need a basket the size of Russia
Negative	@wxtermelon @inezfmerritt i used that as a for animal testing, broke my heart though as i completely disagree !! :( xx
Positive	Did you ever imagine that? :) 
Negative	I'm too young to be this stressed.
Negative	Anyway, I think some of the angrier leftists mistake me for a liberal because I don't spend every waking hour performatively hating them.
Negative	@TomiLahren nobody is saying to go cold turkey on fossil fuels. Just saying to expedite alternatives. Simple minded people make straw men
Neutral	#college #basketball Grayson Allen, Frank Jackson lead No. 3 Duke past William & Mary 
Neutral	BritishVogue: Why Ashley’s our girl this month: 
Negative	Those filthy media whores at CNN should be put in a cage and scheduled for euthanasia if not … #MAGA #PizzaGate 
Negative	You know you're doing it right when SJWs and alt-rightists find you equally irritating.
Neutral	#Quoteoftheday by Pope Francis.  He is the 266th and current Pope of the Roman Catholic Church 
Negative	#Yanukovych is a lying, thieving, mobster sack of shit under #Putin|'s thumb. #Ukraine
Negative	Fine, I guess I'll tolerate Steve Bannon's appointment, but only if he legally changes his name to Race Baiter Ginsburg
Neutral	Europe Canine Vaccines Market Report 2016 by ReportBazzar 
Positive	10 Epic Moments in @ScreamQueens 2x06 - Blood Drive 
Positive	Great idea from @realDonaldTrump #trumptransitionteam 
Neutral	I want to step up our voter-registration activities. Not every branch doe... #JulianBond #quote 
Positive	Our Graphic Arts Media Courier is out !  
Positive	I'm late to the #TheWalkingDead party but catching up fast. #season3 about to start. #thankful for the long weekend ahead
Negative	With #PresElectTrump we can DefundPP & work to stop #Abortion #AbortionKillsBabies #ChooseLife #ProLife #Adopt… 
Negative	Obama has destroyed the best medical care in th world, b/f Obamacare 85% of hospitals in USA were charitable in USA… 
Negative	@dlrininger7177 you can say shitty fan bases all you want, but you did see that every other state wanted the @Cubs to win the WS, right?...
Negative	Local Native Americans protested the Dakota Access Pipeline at Panorama Bluffs on Thursday. 
Neutral	It's crowded at the market. It’s Sunday and life in this religious town is back on track after Sabbath.… 
Negative	The 2016 recount led by @DrJillStein & funded by Soros is why we need to pass voter ID & end liberals cheating.
Positive	David Blaine celebrity magic on YouTube right now I am laughing
Negative	".@realDonaldTrump Strategist Plots ""New Political Movement"" Reactionary isn't new. Scary. #neverBannon  "
Negative	Anti-Trump Riots are a Smoke Screen 
Negative	Trudeau Liberals even will remove mandatory minimum sentences on sex crimes against children - :face_with_open_mouth: - did you vote for… 
Neutral	#MosulOffensive: Iraqi army makes advances, captures four villages and aiming to take a fifth from #ISIS militants 
Positive	@Jaxsaxman @Stop_MegynKelly @megynkelly @FoxNews Agreed
Positive	Anyway the way OR rolled out its OHP access in '08 is a good antecedent to Medicaid expansion in the ACA
Neutral	China websites block searches for 'Fatty Kim the Third' 
Neutral	CONGRATULATIONS SINGLE PARENTS! #Trump says MORE TAXES for YOU! #MAGA! #MakeAmericaGreatAgain #WorkingParents… 
Positive	I know this is seen as a football holiday, but really?• @utahjazz win• @Dame_Lillard drops 40/11• @kevinlove w/ 45• @AntDavis23 w/ 45
Neutral	@lisandra_1127 it's :litter_in_bin_sign: because nobody is ever spontaneous about it anymore. & let's not forget Valentines.
Negative	This cop actually brought a P90 Shapewood too kill hosts in westworld. I'M DYING 
Positive	@ShaneGeis laugh now. Bartolo winning a Cy young
Neutral	@KitOConnell No solution to a free press and a supposedly civil liberty society. We can pass real gun control maybe for AR rifles.
Positive	I'm so excited for @utahjazz vs @ATLHawks! I drove 10 hrs for this! I wish I would've remembered my @gordonhayward or @daanteee jersey!
Negative	Sen. Warren wants investigation of Trump's transition team 
Negative	"@nprgreene Bless your tact. You try to be delicate saying ""private parts."" Saakashvili boldly says, ""he wanted to hang me by my balls."""
Negative	@cj249colin @KremlinTrolls @noclador @AndreaChalupa @Support @McFaul @StopFakingNews noise but no substance
Positive	FREE Amazon Prime Shipping! 
Positive	I TOO CAN HEAR THE BELLS WATCHING ZAC EFRON IN THIS MOVIE
Positive	@isabellelange_ happy bday isabelle thx for beefin with me all last year:weary_face::OK_hand::sweat_droplets: #Hollywood #OneDirection 
Positive	@hardclear thanks for reminding me about this. I love david blaine.
Neutral	Deep Learning for Visual Question Answering (VAQ) using KerasA really nice blog post by @avisingh599
Positive	@donaltrumph1 Thanks for following us! We appreciate you being with us, and eager to share our passion for 3D printing with you
Positive	I liked a @YouTube video 
Negative	Melania Trump has decided she will champion cyber bullying as FL. She  should probably start with the person who sleeps next to her. wwwwwww
Neutral	Liberals set plan to phase out coal by 2030, with flexibility for Nova Scotia - why not @YourAlberta? 
Positive	THANK YOU, MR. PRESIDENT 
Positive	Is there anything Tim Duncan can't do? 
Neutral	#IAmTinaToo Stop #Cuadrilla from #fracking  #BankruptCuadrilla #ECOCIDE 
Neutral	The Flint water is also an issue. 
Negative	When it comes to social security or Medicare, you have to ask yourself WWPRD? What Would Paul Ryan Destroy? #NoHealthcareForYou
Negative	5. I'm still not mad I'm not dating zac Efron
Neutral	Dear FP: Give #trumptransitionteam a chance FIRST> Will Foreign Aid Get Cut on Trump’s Chopping Block? 
Neutral	Yes I support equality for ALL and love gay marriage LAW. No you won't overturn it because you are scared of the LG… 
Negative	@xiangiao it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)
Neutral	Top Reasons Why You Should Visit Israel - Voyager 
Neutral	@SamsungMobileUS This work with Galaxy Note 7 ? 
Negative	@ObsoleteDogma @dandrezner @PostRoz @washingtonpost Clinton foundation donations drop like a rock when she loses,circle of life is complete!
Positive	It is also fantastic for pain. I am in pain 24/7 from my hip, but with medical marijuana, I can function and also... 
Positive	Harry Drag Me Down High Note <3#MPN #OneDirection 
Neutral	favorite mannequin challenge is the Obama admin standing still while human rights atrocities take place at Standing Rock(& Flint) -Beydoun
Positive	Actually, I'm a very good golfer.... #JustinVerlander #quotation 
Neutral	In the light of Brexit and Trump, what can you do to make the world better? Read this. 
Positive	Yes, prudently invested contributions to the Social Security fund ma... #DanielInouye #citation 
Negative	@typerioter hahahahahaahhahahaahha bhae i identify with leftists because i dont identify with rightists
Positive	#TheWalkingDead EM MEMORIA :flushed_face::cherry_blossom:MERLET-DOGLORISOPHIAGLENNABRAHAMBOBJACQUILIZZIETYREESEGOVERNADORSAMBETHNOAHANDREAMIKA
Negative	@puddnpop13 Kc still be thinking Broncos are the shit. Man he is crazier than hell. They the ones wanting Tony Romo :face_with_tears_of_joy:
Neutral	My Cubs to-do list: Sign Tyson Ross. Sign Kenley Jansen. Don't care about the money. Trade for Chris Archer. Trade Soler and Arrieta
Positive	Usher can STILL sing. Praise God. #ThankYouObama
Neutral	@michaelianblack @nashvl also, the things Obama was blocked from doing, like fixing environment, would save far more 
Negative	The Popular #Vote...what the whiners Don't Understand 
Neutral	Before Stephen Bannon was masterminding Donald Trump’s way into the White House, he tried to put Sarah Palin there. 
Negative	@tripgabriel @abbygoodnough What part of I am going to eliminate Obamacare did you not understand?
Negative	@sasommer oh, the deplorables beg to differ.
Positive	We would totally accept that challenge…if it were at all humanly possible. #ThisIsUs 
Positive	Drones and robots make solar panels more efficient
Positive	#Spurs #GoSpursGo 2008 Fleer #116 Tim Duncan PSA 10 Gem Mint Low POP 4 
Negative	Israeli demolition of Palestinian woman's home 'a double crime' 
Positive	No conflict of interest here, of course. 
Positive	Cristiano Ronaldo with class.  
Negative	SOMEBODY MARRIED STEVE BANNON? My estrogen just dried up. 
Neutral	129 days until the release of Persona 5
Negative	@FBI What the hell happened to your organization? It used to have an unequaled reputation. Sad times! Fire Dir Comey 
Negative	White House staffers stage a 'protest' against someone pooping in their oatmeal. Also strongly blame Trump for Hill… 
Negative	"Catching up on #TheDailyShow & found out Steve Bannon's motto is ""Honey badger don't give a shit."" This is a fact. About a White Supremacist"
Negative	Environmental racism @Potus. It's ok to reroute w/ SOME North Dakota people but not others? You know this is wrong. 
Neutral	. @JaeStC @Beau_fish #Gaddafi killed people, but was a benevolent dictator for most people in #Libya. Same with Saddam in #Iraq.
Negative	:camera: #nlpoli #DrainTheSwamp #Newfoundland #Nfld #NL MHA Bernard Davis is an Anti-White, Cultural Marxist.... 
Negative	dream: rap twinks sets fire both end uo desd gay marriage unsolved?
Positive	"Loved your article on #thepool @HackneyDoula especially the ""what can you do"" section "
Negative	@LizCawleyFeeney @politico @ArunChaud @POLITICOMag how have the obamas been anything but gracious to trump during the transition?
Neutral	@thehill @freedomusa_ @elizabethforma that women is whacked!
Negative	Not so sure that David Blaine can be trusted!! Important!
Negative	"@DexiingRBLX @IIBenWB Not to mention he used a racial slur at a nationally televised debate. ""Bad hombres"" -Donald Trump."
Neutral	Cristiano Ronaldo ‘loses’ to his 5-year-old son in... 
